TTL,precise_time,approx_time
-156.1875,1942698874,2023-10-30T17:40:19.659
-156.9375,1942704720,2023-10-30T17:40:19.664
-156.75,1942710651,2023-10-30T17:40:19.670
-156.1875,1942716538,2023-10-30T17:40:19.676
-154.875,1942722561,2023-10-30T17:40:19.682
-148.125,1942728430,2023-10-30T17:40:19.688
-153.5625,1942734447,2023-10-30T17:40:19.694
82.875,1942740446,2023-10-30T17:40:19.700
102.75,1942746286,2023-10-30T17:40:19.706
750.5625,1942752217,2023-10-30T17:40:19.712
-6143.8125,1942758161,2023-10-30T17:40:19.718
-6143.8125,1942764049,2023-10-30T17:40:19.724
-6143.8125,1942769868,2023-10-30T17:40:19.730
-6143.8125,1942775737,2023-10-30T17:40:19.735
-6143.8125,1942781595,2023-10-30T17:40:19.741
-6143.8125,1942787397,2023-10-30T17:40:19.747
-6143.8125,1942793184,2023-10-30T17:40:19.753
-6143.8125,1942799039,2023-10-30T17:40:19.759
-6143.8125,1942804861,2023-10-30T17:40:19.765
-6143.8125,1942810712,2023-10-30T17:40:19.770
-6143.8125,1942816621,2023-10-30T17:40:19.776
-6143.8125,1942822539,2023-10-30T17:40:19.782
-6143.8125,1942828338,2023-10-30T17:40:19.788
-6143.8125,1942834153,2023-10-30T17:40:19.794
-6143.8125,1942840050,2023-10-30T17:40:19.800
-6143.8125,1942845891,2023-10-30T17:40:19.806
-6143.8125,1942851689,2023-10-30T17:40:19.811
-6143.8125,1942857671,2023-10-30T17:40:19.817
-6143.8125,1942863663,2023-10-30T17:40:19.823
-6143.8125,1942869546,2023-10-30T17:40:19.829
-6143.8125,1942875354,2023-10-30T17:40:19.835
-6143.8125,1942881296,2023-10-30T17:40:19.841
-6143.8125,1942887233,2023-10-30T17:40:19.847
-6143.8125,1942893133,2023-10-30T17:40:19.853
-6143.8125,1942899067,2023-10-30T17:40:19.859
-6143.8125,1942904951,2023-10-30T17:40:19.865
-6143.8125,1942910855,2023-10-30T17:40:19.871
-6143.8125,1942916763,2023-10-30T17:40:19.876
-6143.8125,1942922716,2023-10-30T17:40:19.882
-6143.8125,1942928562,2023-10-30T17:40:19.888
-6143.8125,1942934364,2023-10-30T17:40:19.894
-6143.8125,1942940308,2023-10-30T17:40:19.900
-6143.8125,1942946197,2023-10-30T17:40:19.906
-6143.8125,1942952025,2023-10-30T17:40:19.912
-6143.8125,1942957925,2023-10-30T17:40:19.918
-6143.8125,1942963907,2023-10-30T17:40:19.924
-6143.8125,1942969826,2023-10-30T17:40:19.930
-6143.8125,1942975636,2023-10-30T17:40:19.935
-6143.8125,1942981495,2023-10-30T17:40:19.941
-6143.8125,1942987462,2023-10-30T17:40:19.947
-6143.8125,1942993296,2023-10-30T17:40:19.953
-6143.8125,1942999109,2023-10-30T17:40:19.959
-6143.8125,1943005112,2023-10-30T17:40:19.965
-6143.8125,1943011055,2023-10-30T17:40:19.971
-6143.8125,1943016956,2023-10-30T17:40:19.977
-6143.8125,1943022964,2023-10-30T17:40:19.983
-6143.8125,1943028803,2023-10-30T17:40:19.989
-6143.8125,1943034648,2023-10-30T17:40:19.994
-6143.8125,1943040524,2023-10-30T17:40:20.000
-6143.8125,1943046353,2023-10-30T17:40:20.006
-6143.8125,1943052171,2023-10-30T17:40:20.012
-6143.8125,1943058019,2023-10-30T17:40:20.018
-6143.8125,1943063901,2023-10-30T17:40:20.024
-6143.8125,1943070041,2023-10-30T17:40:20.030
-6143.8125,1943076317,2023-10-30T17:40:20.036
-6143.8125,1943082294,2023-10-30T17:40:20.042
-6143.8125,1943088156,2023-10-30T17:40:20.048
-6143.8125,1943094153,2023-10-30T17:40:20.054
-6143.8125,1943100182,2023-10-30T17:40:20.060
-6143.8125,1943106232,2023-10-30T17:40:20.066
-6143.8125,1943112145,2023-10-30T17:40:20.072
-6143.8125,1943118874,2023-10-30T17:40:20.079
-6143.8125,1943124972,2023-10-30T17:40:20.085
-6143.8125,1943130866,2023-10-30T17:40:20.091
-6143.8125,1943136687,2023-10-30T17:40:20.096
-6143.8125,1943142687,2023-10-30T17:40:20.103
-6143.8125,1943148766,2023-10-30T17:40:20.108
-6143.8125,1943154520,2023-10-30T17:40:20.114
-6143.8125,1943160405,2023-10-30T17:40:20.120
-6143.8125,1943166353,2023-10-30T17:40:20.126
-6143.8125,1943172212,2023-10-30T17:40:20.132
-6143.8125,1943178048,2023-10-30T17:40:20.138
-6143.8125,1943183940,2023-10-30T17:40:20.144
-6143.8125,1943189797,2023-10-30T17:40:20.150
-6143.8125,1943195559,2023-10-30T17:40:20.155
-6143.8125,1943201393,2023-10-30T17:40:20.161
-6143.8125,1943207338,2023-10-30T17:40:20.167
-6143.8125,1943213482,2023-10-30T17:40:20.173
-6143.8125,1943219278,2023-10-30T17:40:20.179
-6143.8125,1943225296,2023-10-30T17:40:20.185
-6143.8125,1943231177,2023-10-30T17:40:20.191
-6143.8125,1943237035,2023-10-30T17:40:20.197
-6143.8125,1943242764,2023-10-30T17:40:20.202
-6143.8125,1943248605,2023-10-30T17:40:20.208
-6143.8125,1943254473,2023-10-30T17:40:20.214
-6143.8125,1943260356,2023-10-30T17:40:20.220
-6143.8125,1943266211,2023-10-30T17:40:20.226
-6143.8125,1943272074,2023-10-30T17:40:20.232
-6143.8125,1943277904,2023-10-30T17:40:20.238
-144.9375,1943283702,2023-10-30T17:40:20.243
-288.0,1943289606,2023-10-30T17:40:20.249
-269.0625,1943295388,2023-10-30T17:40:20.255
-254.8125,1943301213,2023-10-30T17:40:20.261
-243.75,1943307136,2023-10-30T17:40:20.267
-234.5625,1943312996,2023-10-30T17:40:20.273
-227.25,1943318906,2023-10-30T17:40:20.279
-221.4375,1943324776,2023-10-30T17:40:20.284
-216.5625,1943330675,2023-10-30T17:40:20.290
-212.0625,1943336470,2023-10-30T17:40:20.296
-208.125,1943342253,2023-10-30T17:40:20.302
-204.75,1943348221,2023-10-30T17:40:20.308
-201.5625,1943354130,2023-10-30T17:40:20.314
-198.75,1943360169,2023-10-30T17:40:20.320
-195.9375,1943365970,2023-10-30T17:40:20.326
-193.6875,1943371819,2023-10-30T17:40:20.332
